日付,証券コード,銘柄名,数量,損益,取引形態
2024,3382,セブン＆アイ,700,-281680,損切
2024,6965,浜松ホトニクス,800,-275600,損切
2024/03/24,4812,電通国際情報サービス,200,-103760,損切(TOB)
2024/04/04,1570,日経レバ,300,242322,利確
2024/04/09,2782,セリア,500,11500,利確
2024/04/04,1570,日経レバ,350,-382291,損切
2024/03/24,4812,電通国際情報サービス,200,-105760,損切(TOB)
2024/11/25,6965,浜松ホトニクス,500,-302290,損切
2024/11/25,6965,浜松ホトニクス,1000,-705500,損切
2024/11/25,6965,浜松ホトニクス,700,-342510,損切
2024/02/17,4259,エクサウィザーズ,5000,27000,利確
2024,7867,タカラトミー,600,12180,利確
2024/05/20,6736,サン電子,200,5240,利確
2024/05/15,5721,エス・サイエンス,7000,13300,利確
2024/05/21,219A,Heartseed,500,56500,利確
2024/05/28,4626,太陽ホールディングス,200,92000,利確
2024/02/04,8399,琉球銀行,6200,1057720,利確
2024/06/13,6208,石川製作所,1300,-220480,損切
2024/11/25,6965,浜松ホトニクス,600,-61200,損切
2024/07/02,7350,おきなわFG,200,-5380,損切
2024/07/10,8136,サンリオ,500,516750,利確
2024/08/25,3382,セブン＆アイ,100,-92380,損切
2024/08/29,4374,ROBOT PAY,500,120300,利確
2024/08/26,6965,浜松ホトニクス,1300,49010,利確
2024,4374,ROBOT PAY,600,33000,利確
2024/07/23,9600,アイネット,600,378000,利確
2024/04/11,1357,日経ダブルインバ,150,-1335900,損切
2024/09/26,215A,タイミー,1500,27450,利確
2024/04/11,1357,日経ダブルインバ,100,-480700,損切
2024/07/30,9029,ヒガシHD,1200,99720,利確
2024/11/26,8316,三井住友FG,1000,128100,利確
2024,6232,ACSL,400,-3320,損切
2024,1357,日経ダブルインバ,100,-18400,利確
2024/04/11,1357,日経ダブルインバ,50,-132400,利確
2024,6963,ローム,2000,74000,利確
2024,3436,SUMCO,1000,52000,利確
2024,6882,三社電機製作所,2500,-108000,損切
2024/11/13,3382,セブン＆アイ,1900,-430730,損切
2024,8306,三菱UFJ,2100,81900,利確
2024/12/11,4293,セプテーニHD,9000,157050,利確
