Code,name,qty,avg_price,realized_pl,original_avg,position_side
7352,TWOSTONE&Sons Inc.,0,1020.6,-641080.0,1020.6,long
4493,"Cyber Security Cloud, Inc.",0,2049.1,-362009.9999999999,2049.1,long
4293,"Septeni Holdings Co., Ltd.",1000,0.0,157000.0,409.1,long
6723,Renesas Electronics Corporation,0,2222.51875,114919.99999999971,2222.51875,long
7011,"Mitsubishi Heavy Industries, Ltd.",0,3807.0,-226750.00000000023,3807.0,long
4886,あすか製薬ホールディングス(株),0,2152.5,241800.0,2152.5,long
1930,北陸電気工事(株),0,1590.0,42799.999999999956,1590.0,long
1942,(株)関電工,100,0.0,30420.0,5909.072727272727,long
1963,日揮ホールディングス(株),0,2190.4,68950.00000000004,2190.4,long
7180,(株)九州フィナンシャルグループ,0,1222.8,-310060.0,1222.8,long
7564,(株)ワークマン,0,6600.9,-208899.99999999965,6600.9,long
6458,新晃工業(株),0,1483.25,-77800.0,1483.25,long
9551,メタウォーター(株),0,3813.8,108959.99999999985,3813.8,long
4592,サンバイオ,0,2195.7,-404499.99999999965,2195.7,long
5911,(株)横河ブリッジホールディングス,0,3196.1,-56439.99999999996,3196.1,long
6254,野村マイクロ・サイエンス(株),0,3454.690909090909,-131659.9999999998,3454.690909090909,long
3697,(株)ＳＨＩＦＴ,0,730.5419354838709,-193400.0,730.5419354838709,long
5016,ＪＸ金属,100,0.0,268620.0,3859.114285714286,long
1605,ＩＮＰＥＸ,0,3802.3,196559.99999999985,3802.3,long
8306,三菱ＵＦＪフィナンシャル・グループ（三菱ＵＦＪ）,0,2854.0,220000.0,2854.0,long
7012,川崎重工業（川重）,0,3258.5,-144750.0,3258.5,long
6506,安川電機（安川電）,0,5918.2,571099.9999999999,5918.2,long
6503,三菱電機（三菱電）,0,6081.8,156409.99999999942,6081.8,long
6622,ダイヘン,0,18090.0,-80000.0,18090.0,long
5803,Fujikura Ltd.,0,5007.5,171800.00000000017,5007.5,long
6702,Fujitsu Limited,0,3521.6,-55199.99999999982,3521.6,long
8411,みずほフィナンシャルグループ（みずほＦＧ）,0,7653.8,143599.9999999999,7653.8,long
6227,ＡＩメカテック（ＡＩメカ）,0,7220.0,-124000.0,7220.0,long
6366,千代田化工建設（千代建）,0,690.3,197200.00000000038,690.3,long
8002,丸紅,500,4829.6,0.0,4829.6,long
